region_id,week_index,education_exposure_index,engagement_quality,configuration_rate,lead_rate,revenue_index,baseline_intent_index,paid_media_index,availability_index,offer_index,launch_phase
R02,15,65.11305,0.545088,0.073329,0.038753,163637.62,0.725236,1.009029,0.774982,0.543342,0
R02,16,65.53972,0.516798,0.079952,0.045645,174368.04,0.887564,0.816745,0.853784,0.623669,0
R02,17,74.49866,0.559005,0.07276,0.040356,150652.58,0.779307,0.968997,0.762333,0.494436,0
R02,18,61.02008,0.515237,0.071029,0.04596,154194.93,0.726116,1.099603,0.88356,0.640177,0
R02,19,68.18196,0.542489,0.072635,0.036327,170230.32,0.588437,0.615957,0.865174,0.87278,0
R02,20,55.89274,0.476493,0.068839,0.035281,178769.68,0.589051,0.815223,0.828604,0.697315,0
R02,21,66.22129,0.547071,0.069453,0.039661,176255.88,0.27291,1.128995,0.832893,0.580201,0
R02,22,72.75505,0.546548,0.076737,0.036158,172724.27,0.540196,0.875754,0.672172,0.848718,0
R02,23,60.80596,0.501814,0.064668,0.035103,176679.52,0.148073,0.870837,0.690419,0.51933,0
R02,24,71.08036,0.566792,0.066359,0.040038,150273.64,0.084725,1.286816,0.724742,0.703761,0
R02,25,71.99423,0.548156,0.073241,0.043983,151445.53,0.48789,1.103632,0.68499,0.589007,0
R02,26,67.67173,0.562136,0.073962,0.039788,176167.59,0.882476,0.986936,0.863981,0.883463,0
R03,1,69.96733,0.548956,0.072358,0.040495,181088.29,0.689815,1.016494,0.74088,0.431912,0
R03,2,73.76801,0.591657,0.080368,0.039872,162829.91,0.55147,1.040963,0.825973,0.49242,0
R03,3,73.80412,0.55913,0.086002,0.049582,173257.29,0.85397,0.781948,0.811825,0.38813,0
R03,4,67.68085,0.565451,0.071586,0.037275,167639.02,0.647615,0.787595,0.797093,0.386089,0
R03,5,67.2497,0.53574,0.071735,0.040569,159819.65,0.723629,0.788557,0.868353,0.420412,0
R03,6,62.36379,0.505484,0.070656,0.04303,163928.4,0.468111,0.772199,0.809366,0.246143,0
R03,7,78.30879,0.542202,0.075598,0.044538,176990.86,0.386882,0.90449,0.766652,0.455483,0
R03,8,76.39461,0.560451,0.078841,0.043691,176412.59,0.363074,1.031607,0.818693,0.580245,1
R03,9,75.98504,0.517208,0.07457,0.045627,169906.02,0.566902,1.093181,0.886089,0.414335,1
R03,10,67.54069,0.557301,0.072729,0.040932,150132.92,0.441406,0.809405,0.81204,0.428952,1
R03,11,72.42894,0.567072,0.074566,0.037562,176488.27,0.518573,0.982328,0.918651,0.745338,1
R03,12,83.53917,0.577774,0.081736,0.044066,182106.42,0.653496,0.77167,0.764526,0.475378,1
R03,13,59.25961,0.552077,0.065181,0.037034,156397.35,0.377079,0.931125,0.785531,0.435408,0
R03,14,56.87281,0.489708,0.071581,0.038489,201904.81,0.463651,0.676817,0.840704,0.35321,0
R03,15,68.24026,0.510187,0.075439,0.042025,162860.91,0.748469,0.67425,0.880835,0.241244,0
R03,16,72.20743,0.546113,0.074301,0.042116,162162.44,0.700228,1.113139,0.773754,0.612659,0
R03,17,78.29569,0.568857,0.071927,0.033661,156850.65,0.749423,0.990351,0.679679,0.450515,0
R03,18,66.94159,0.56703,0.073103,0.039229,204465.12,0.715844,0.842654,0.940872,0.908142,0
R03,19,61.4656,0.50642,0.062356,0.035019,180712.72,0.455173,0.892015,0.786106,0.642074,0
R03,20,63.9082,0.551441,0.070352,0.039984,160264.48,0.501331,0.864743,0.562967,0.645475,0
R03,21,57.44151,0.457074,0.051513,0.031687,152806.65,0.012344,0.622727,0.68142,0.560966,0
R03,22,58.72975,0.495032,0.061357,0.035122,165341.81,0.068797,0.748807,0.724918,0.824371,0
R03,23,71.38372,0.575676,0.078339,0.040682,172617.52,0.355021,1.047886,0.812319,0.49017,0
R03,24,66.97963,0.513998,0.056906,0.029612,156019.1,0.123556,0.972553,0.705305,0.664376,0
R03,25,60.257,0.511995,0.069441,0.036327,167961.97,0.125085,0.769948,0.8846,0.525395,0
R03,26,56.43438,0.49334,0.062483,0.028618,178977.12,0.423499,0.795195,0.813093,0.774149,0
R04,1,73.27645,0.562499,0.079844,0.04019,191229.1,1.062059,1.070869,0.630463,0.449176,0
R04,2,83.94928,0.582226,0.087082,0.048356,170860.69,1.435641,0.871486,0.881038,0.368025,0
R04,3,82.46894,0.58235,0.098193,0.050476,175619.97,1.486355,0.640737,0.686976,0.277557,0
R04,4,79.92715,0.540676,0.093049,0.051374,166305.64,1.227368,1.18019,0.712209,0.372411,0
R04,5,74.90879,0.581463,0.078428,0.036617,150127.57,1.156946,0.821991,0.843582,0.323319,0
R04,6,67.20482,0.596056,0.080683,0.04808,175763.92,1.259689,0.957315,0.839379,0.583938,0
R04,7,66.83509,0.503215,0.076891,0.042183,164393.13,0.698563,0.831262,0.826703,0.361352,0
R04,8,83.5874,0.608928,0.079661,0.042638,185640.96,0.997801,0.896322,0.671666,0.570823,1
R04,9,78.02015,0.546908,0.084222,0.042688,181701.47,1.09543,0.892884,0.762398,0.552052,1
R04,10,79.09288,0.600975,0.080034,0.046308,163272.79,0.79958,1.166809,0.610202,0.42087,1
R04,11,76.18653,0.57465,0.072509,0.043117,123720.8,1.063135,0.565618,0.505232,0.411877,1
R04,12,83.58455,0.585436,0.074002,0.037937,174531.14,0.909723,0.807149,0.635955,0.576777,1
R04,13,72.64736,0.587683,0.085924,0.045769,175025.01,1.238531,0.734827,0.877974,0.363193,0
R04,14,80.15224,0.572846,0.090699,0.0452,150521.38,1.196794,1.066361,0.807655,0.377512,0
R04,15,72.47154,0.570024,0.088076,0.049084,167892.45,1.482171,0.887425,0.691232,0.560566,0
R04,16,87.04333,0.570012,0.083304,0.045969,185451.62,1.2536,1.048629,0.78584,0.535185,0
R04,17,81.50526,0.59876,0.086174,0.045392,161034.48,1.393616,0.948763,0.549948,0.283615,0
R04,18,83.51741,0.576285,0.095751,0.050547,172012.62,1.344866,1.126704,0.847982,0.569094,0
R04,19,73.77329,0.538469,0.083369,0.047155,186801.87,1.077407,0.966841,0.517783,0.822222,0
R04,20,86.87195,0.621309,0.07649,0.042669,185204.19,0.951997,0.783316,0.952958,0.571613,0
R04,21,66.01503,0.547059,0.074384,0.040569,183451.38,0.718447,0.827328,0.799502,0.792653,0
R04,22,75.1225,0.507533,0.08181,0.042393,160047.89,0.823244,1.092247,0.866188,0.883347,0
R04,23,64.66766,0.508847,0.081263,0.045809,179595.92,0.779058,0.904166,0.810818,0.554766,0
R04,24,69.37651,0.533738,0.082099,0.047765,174546.17,0.739144,0.838258,0.836559,0.48177,0
R04,25,73.80216,0.569865,0.086319,0.047896,170900.12,0.916352,0.900758,0.795958,0.732435,0
R04,26,81.40987,0.618325,0.095617,0.048495,189361.91,1.331757,1.000393,0.694289,0.774404,0
R05,1,77.61754,0.603411,0.098125,0.051939,181283.92,1.350285,1.139997,0.761348,0.557273,0
R05,2,82.13301,0.609765,0.094092,0.051265,165945.84,1.445732,0.746657,0.702912,0.395007,0
R05,3,81.99663,0.572687,0.097239,0.052508,165283.84,1.37014,1.049601,0.727066,0.674774,0
R05,4,75.86106,0.589122,0.095642,0.050251,178127.41,1.477588,0.757075,0.876073,0.282463,0
R05,5,73.10511,0.498633,0.091725,0.04705,174390.64,1.253551,0.969332,0.711345,0.398985,0
R05,6,77.74302,0.565141,0.089188,0.047858,163032.05,1.27937,0.983349,0.721917,0.503935,0
R05,7,70.689,0.562807,0.078063,0.042901,165969.14,1.047576,1.061682,0.659009,0.573755,0
R05,8,85.99348,0.614507,0.08669,0.047092,156195.5,1.079287,0.92418,0.899185,0.440265,1
R05,9,83.31882,0.575906,0.077501,0.037858,188353.85,1.086466,1.290566,0.62971,0.632693,1
R05,10,82.6758,0.56254,0.073121,0.038721,163602.52,0.791082,1.18119,0.838416,0.519674,1
R05,11,88.95205,0.553898,0.084551,0.048391,187285.86,1.020465,1.271265,0.665456,0.315974,1
R05,12,84.69913,0.575923,0.088216,0.047755,185369.52,1.141908,1.125464,0.845943,0.415992,1
R05,13,71.04268,0.568475,0.085572,0.043286,178029.26,1.166946,1.221893,0.81056,0.502893,0
R05,14,72.34021,0.557212,0.077971,0.036664,187369.88,1.138645,0.677108,0.858285,0.376521,0
R05,15,73.50319,0.575876,0.094188,0.053925,183012.47,1.235154,0.668833,0.729293,0.407307,0
R05,16,79.83835,0.568576,0.097057,0.054485,161380.23,1.712283,0.691576,0.876831,0.39287,0
R05,17,73.20173,0.549364,0.089263,0.049265,174631.5,1.400314,0.692315,0.816791,0.303244,0
R05,18,72.9704,0.57864,0.089795,0.051338,162457.43,1.195659,0.687628,0.791838,0.659173,0
R05,19,72.41964,0.558987,0.086669,0.046407,156272.39,1.050519,0.755484,0.77465,0.559905,0
R05,20,73.32838,0.608474,0.081077,0.037224,161289.56,1.026466,1.104911,0.707273,0.747343,0
R05,21,65.34311,0.494317,0.076202,0.043187,180533.94,0.795058,0.780135,0.852908,0.589532,0
R05,22,72.25072,0.586031,0.082653,0.047728,192271.46,0.833993,0.882247,0.616351,0.560972,0
R05,23,74.89181,0.510886,0.077871,0.045654,203714.15,0.695077,1.059442,0.791441,0.808314,0
R05,24,62.32422,0.516841,0.077764,0.039984,177250.7,0.660038,0.544847,0.661608,0.60246,0
R05,25,69.97109,0.579854,0.085491,0.04073,197546.34,1.027614,0.620909,0.879168,0.684706,0
R05,26,91.74379,0.615736,0.084096,0.04979,184313.96,1.15457,1.269197,0.829699,0.60985,0
R06,1,82.49742,0.584669,0.082115,0.040171,153939.77,1.355247,0.899849,0.8337,0.381544,0
R06,2,85.18342,0.607512,0.095379,0.04708,168437.03,1.312511,0.994402,0.799474,0.383636,0
R06,3,78.78881,0.591082,0.080811,0.04245,169903.46,1.045356,1.052675,0.757667,0.432475,0
R06,4,90.46145,0.626267,0.088126,0.046467,156725.84,1.409463,1.078615,0.588288,0.136027,0
R06,5,80.95303,0.604854,0.07996,0.046168,136421.04,1.324238,0.919862,0.931718,0.264313,0
R06,6,68.86013,0.565058,0.082372,0.046876,170405.94,1.092475,0.684291,0.710078,0.393346,0
R06,7,73.40869,0.583421,0.083617,0.044181,184246.28,0.870211,0.833501,0.891151,0.419944,0
R06,8,78.81781,0.564001,0.077873,0.041068,163702.14,0.957219,1.108594,0.610555,0.4494,1
R06,9,87.50108,0.582327,0.081092,0.0426,198452.3,0.758819,1.248301,0.70233,0.697997,1
R06,10,72.48986,0.551347,0.068936,0.033511,183582.55,0.83022,0.982602,0.802074,0.291217,1
R06,11,81.77951,0.577305,0.075098,0.04164,154637.5,0.832104,1.00823,0.684512,0.57085,1
R06,12,70.81504,0.495095,0.067414,0.04095,188371.34,0.824412,0.808214,0.535421,0.713979,1
R06,13,74.75835,0.594281,0.074218,0.04284,186263.19,1.032628,0.691435,0.769126,0.5098,0
R06,14,86.32203,0.601804,0.088498,0.041713,172325.67,1.222021,1.074541,0.790221,0.508232,0
R06,15,80.31349,0.581645,0.094101,0.049666,181046.25,1.342652,0.822481,0.899167,0.365644,0
R06,16,79.33897,0.541091,0.087043,0.044922,176370.52,1.389559,0.868622,0.762614,0.236242,0
R06,17,76.19548,0.562636,0.079161,0.040417,151963.68,1.165868,0.825128,0.810439,0.412557,0
R06,18,78.98966,0.598152,0.084184,0.041577,195753.61,1.253234,0.828402,0.830837,0.941162,0
R06,19,73.06391,0.50424,0.083321,0.045826,165771.3,0.869836,0.991695,0.866943,0.647555,0
R06,20,74.25193,0.543007,0.08049,0.048066,162740.19,0.958758,0.743998,0.695639,0.522202,0
R06,21,66.06694,0.560679,0.070022,0.039075,161276.22,0.713064,0.946444,0.688476,0.389198,0
R06,22,60.17849,0.48732,0.067722,0.038691,167112.93,0.529641,0.850581,0.955274,0.630086,0
R06,23,63.28433,0.536181,0.07487,0.045068,157984.51,0.63603,0.772818,0.661687,0.7073,0
R06,24,76.96214,0.543124,0.075052,0.036153,162008.38,0.814626,1.157263,0.836755,0.651526,0
R06,25,70.54344,0.553231,0.078046,0.047002,168205.28,0.725376,0.732925,0.829536,0.570701,0
R06,26,68.98837,0.547887,0.08866,0.047205,191680.53,0.763814,0.84947,0.952312,0.789064,0
R07,1,55.16908,0.490409,0.057897,0.036538,149062.74,0.545938,0.476654,0.78891,0.346739,0
R07,2,75.72777,0.572071,0.070289,0.039818,160159.13,0.595264,1.003371,0.869489,0.338368,0
R07,3,62.69375,0.54928,0.058866,0.032793,167103.45,0.5147,0.858436,0.793301,0.417751,0
R07,4,56.06914,0.485076,0.055073,0.032941,182296.98,0.26638,0.668705,0.752678,0.420754,0
R07,5,65.31561,0.543256,0.066988,0.044351,184178.12,0.337916,0.899554,0.922678,0.586765,0
R07,6,59.50436,0.504745,0.060448,0.031997,186406.86,0.158861,0.946065,0.78055,0.427081,0
R07,7,58.16999,0.4275,0.062723,0.039094,147355.12,-0.092805,1.186288,0.768312,0.423839,0
R07,8,66.39828,0.547121,0.066334,0.038202,169504.12,0.043286,1.076596,0.62595,0.417224,1
R07,9,62.42522,0.513217,0.059896,0.036425,155234.26,0.001435,0.732996,0.73037,0.43265,1
R07,10,53.67376,0.438871,0.057435,0.033418,192494.47,0.110826,0.721906,0.719309,0.513286,1
R07,11,67.20124,0.530109,0.05944,0.034234,165587.05,-0.050696,0.967567,0.910643,0.608117,1
R07,12,63.6093,0.515103,0.060528,0.037787,151813.51,0.163789,0.994153,0.720683,0.306876,1
R07,13,61.2045,0.483754,0.070402,0.032648,142633.35,0.131303,0.93751,0.746911,0.649597,0
R07,14,58.45439,0.455381,0.064647,0.039271,169381.34,0.214388,0.695221,0.6394,0.350973,0
R07,15,74.65014,0.544471,0.074227,0.041272,174234.67,0.493869,1.100727,0.728304,0.0,0
R07,16,58.82282,0.530528,0.057865,0.034601,186340.79,0.193427,0.877892,0.824824,0.744118,0
R07,17,70.55893,0.496532,0.07504,0.040147,161904.55,0.542775,0.590081,0.762814,0.559454,0
R07,18,61.38053,0.527973,0.068296,0.033146,181704.91,0.51516,1.160551,0.630568,0.670598,0
R07,19,58.71576,0.512211,0.068398,0.036254,152280.37,0.182044,0.564714,0.907056,0.544571,0
R07,20,58.92858,0.505665,0.056102,0.03202,154258.38,0.077546,0.837265,0.717736,0.89687,0
R07,21,62.05682,0.507514,0.06538,0.03974,163225.55,-0.00539,1.259163,0.715917,0.659518,0
R07,22,54.30801,0.46924,0.066844,0.038451,195911.12,0.094133,0.997541,0.907072,0.581482,0
R07,23,48.95109,0.498705,0.05559,0.034946,131597.94,-0.229163,1.09032,0.766972,0.686347,0
R07,24,50.71948,0.422334,0.057567,0.036184,162328.02,-0.135737,0.725996,0.725521,0.579265,0
R07,25,61.43939,0.473175,0.058805,0.035605,184110.72,-0.153716,0.855462,0.793157,0.735364,0
R07,26,60.67511,0.540085,0.07123,0.041065,166698.36,0.328637,0.740101,0.794677,0.530471,0
R08,1,64.67116,0.552979,0.075335,0.042313,177806.33,0.725035,0.964712,0.754126,0.492301,0
R08,2,60.43991,0.499915,0.073122,0.038199,177197.83,0.463075,0.874522,0.77523,0.473558,0
R08,3,72.23995,0.530677,0.092961,0.048469,176149.49,0.807475,0.922486,0.831965,0.455135,0
R08,4,58.89815,0.490319,0.072449,0.045952,178556.16,0.436424,0.933091,0.804511,0.264963,0
R08,5,71.8509,0.532164,0.073916,0.037155,176996.62,0.553866,1.272542,0.881137,0.36845,0
R08,6,61.24197,0.511676,0.063931,0.036587,161340.01,0.46768,1.149188,0.555935,0.511012,0
R08,7,61.20555,0.465881,0.065842,0.03589,187627.67,0.307716,1.027335,0.860601,0.60581,0
R08,8,75.80938,0.550033,0.069075,0.039747,167668.84,0.332726,1.065361,0.900164,0.485154,1
R08,9,64.38481,0.477156,0.073671,0.039618,166015.3,0.303237,1.072385,0.851297,0.585333,1
R08,10,77.53258,0.577505,0.068154,0.036942,157550.52,0.452635,0.878893,0.711993,0.358035,1
R08,11,68.374,0.527855,0.060241,0.037112,133766.45,0.330854,0.87448,0.81939,0.32971,1
R08,12,80.5152,0.525999,0.070872,0.032579,155509.81,0.544866,1.027027,0.785113,0.468984,1
R08,13,77.89064,0.55512,0.070764,0.038627,181736.69,0.466164,1.016604,0.742254,0.496586,0
R08,14,61.78627,0.513925,0.068884,0.040112,160161.57,0.549177,0.708234,0.760549,0.565717,0
R08,15,73.23819,0.539128,0.079542,0.040174,164795.12,0.569604,1.170278,0.652552,0.192529,0
R08,16,68.111,0.560129,0.07568,0.045244,174006.54,0.759255,0.889677,0.920449,0.46175,0
R08,17,73.00709,0.559309,0.072125,0.044928,162220.55,0.695177,0.758126,0.820485,0.421867,0
R08,18,57.95044,0.4696,0.075701,0.044744,164067.59,0.494587,0.666331,0.831213,0.632417,0
R08,19,80.48428,0.551572,0.077637,0.040377,195701.39,0.658172,0.900572,0.844937,0.712268,0
R08,20,70.09054,0.532215,0.071039,0.036066,198395.97,0.341159,0.921289,0.870137,0.60982,0
R08,21,53.21602,0.456934,0.054259,0.034079,187939.26,0.16595,0.781433,0.803353,0.603925,0
R08,22,55.21916,0.451164,0.053714,0.027629,198055.52,0.159749,0.608146,0.726303,0.679724,0
R08,23,60.6412,0.46097,0.062054,0.032225,145320.24,0.160572,0.791591,0.577768,0.552067,0
R08,24,62.92007,0.517099,0.065449,0.038569,164205.57,0.220452,1.025162,0.86966,0.355388,0
R08,25,62.23696,0.479079,0.05416,0.029338,160759.56,0.060259,0.962227,0.741745,0.735815,0
R08,26,67.15729,0.589259,0.058238,0.038589,179311.43,0.284257,1.075332,0.912024,0.651039,0
R09,1,73.29737,0.570853,0.079691,0.039517,167299.27,1.169143,0.666982,0.766101,0.346818,0
R09,2,83.01913,0.586697,0.084736,0.049233,151000.8,1.238985,0.905413,0.83717,0.677956,0
R09,3,82.5498,0.554178,0.083915,0.041108,138794.7,1.372101,1.059286,0.723544,0.453011,0
R09,4,79.26204,0.62357,0.091064,0.043834,176002.17,1.359598,0.887552,0.752159,0.408045,0
R09,5,72.42147,0.572599,0.081674,0.045665,205620.54,1.14911,0.681262,0.868236,0.302695,0
R09,6,70.59485,0.522451,0.087441,0.045948,164544.75,1.073657,0.777509,0.880775,0.256645,0
R09,7,70.6145,0.538375,0.074346,0.042542,148531.75,0.86983,0.610715,0.648761,0.281564,0
R09,8,87.22499,0.600795,0.091666,0.053367,156368.09,1.104023,1.050961,0.743334,0.434504,1
R09,9,84.522,0.543182,0.087835,0.042463,155606.45,0.978901,1.142417,0.815548,0.311678,1
R09,10,75.91019,0.533696,0.087305,0.046142,163514.08,1.00776,0.705963,0.739483,0.393021,1
R09,11,81.59233,0.555086,0.080305,0.045813,178940.44,0.987084,1.214812,0.682359,0.232457,1
R09,12,72.38798,0.56448,0.079554,0.047964,168916.66,0.91248,0.652545,0.784437,0.474051,1
R09,13,67.07506,0.556536,0.085363,0.046643,141092.39,0.9601,1.10917,0.637525,0.465801,0
R09,14,85.67077,0.609994,0.092643,0.052101,176890.99,1.295529,0.915475,0.756386,0.280502,0
R09,15,81.36055,0.648623,0.091948,0.048808,172973.53,1.524963,1.155306,0.880725,0.529515,0
R09,16,75.59699,0.633078,0.083935,0.04499,185507.94,1.341844,1.019234,0.899841,0.538876,0
R09,17,68.9236,0.604807,0.10021,0.049148,168761.91,1.41733,0.797114,0.912976,0.2855,0
R09,18,75.40393,0.554249,0.08692,0.045126,179709.36,1.359467,1.028552,0.781332,0.81376,0
R09,19,69.01241,0.550964,0.087735,0.045309,205836.59,1.234052,0.881406,0.85697,0.746143,0
R09,20,77.0989,0.557333,0.082031,0.045261,180250.76,0.866635,1.201248,0.821837,0.559819,0
R09,21,71.71355,0.518541,0.078091,0.042102,167200.12,0.777257,1.305878,0.650613,0.44993,0
R09,22,62.6454,0.516314,0.066888,0.04088,162533.65,0.603911,0.77689,0.710472,0.379482,0
R09,23,64.79583,0.540747,0.088425,0.049261,177347.3,0.726703,0.848191,0.925586,0.766735,0
R09,24,56.77709,0.466335,0.071698,0.042532,150809.5,0.695569,0.726079,0.670585,0.479499,0
R09,25,69.77108,0.564045,0.075045,0.039494,181900.83,0.784503,1.095405,0.878081,0.688055,0
R09,26,80.97914,0.575491,0.095429,0.046482,186938.13,1.091783,1.087103,0.827352,0.853216,0
R10,1,83.23235,0.622894,0.093308,0.04233,161092.05,1.521216,0.900668,0.927624,0.23427,0
R10,2,81.52854,0.58462,0.091812,0.045621,200439.41,1.537399,0.826732,0.772276,0.612604,0
R10,3,84.95381,0.604054,0.097515,0.049177,169124.02,1.694607,1.125441,0.772979,0.213451,0
R10,4,79.85748,0.581518,0.086849,0.045148,159331.93,1.625554,0.752139,0.807773,0.564574,0
R10,5,96.50867,0.662623,0.102679,0.055105,165421.33,1.652352,0.89387,0.671658,0.527298,0
R10,6,74.48726,0.54913,0.091239,0.044668,146391.61,1.294741,0.849731,0.839574,0.382006,0
R10,7,76.2995,0.562722,0.10265,0.055224,175837.35,1.475071,0.648165,0.932375,0.35494,0
R10,8,78.22693,0.62796,0.082969,0.045492,160310.83,1.264288,1.16522,0.655453,0.369238,1
R10,9,77.83128,0.61695,0.081926,0.044044,166589.46,1.049708,1.581225,0.844509,0.549599,1
R10,10,79.60093,0.600361,0.081612,0.037707,145674.14,1.120332,1.287781,0.669357,0.330651,1
R10,11,81.59298,0.583483,0.076,0.045664,156134.28,0.924868,1.215888,0.751422,0.421436,1
R10,12,95.05109,0.626941,0.091058,0.046052,186780.1,1.353624,1.192999,0.884269,0.570124,1
R10,13,75.44714,0.605625,0.083453,0.047213,181027.62,1.285385,0.941191,0.727307,0.226525,0
R10,14,77.49156,0.564577,0.090114,0.047,172728.72,1.410399,0.50219,0.742736,0.596426,0
R10,15,91.64451,0.623176,0.096773,0.047845,182349.45,2.044947,1.121537,0.609151,0.549604,0
R10,16,82.3882,0.606616,0.094424,0.050272,151429.51,1.622934,0.813454,0.799585,0.182884,0
R10,17,83.1167,0.5824,0.102519,0.058114,165713.03,1.742751,0.897561,0.703082,0.439838,0
R10,18,86.49933,0.626099,0.095091,0.047099,178685.4,1.706761,1.033866,0.91759,0.641126,0
R10,19,75.25323,0.594752,0.087445,0.046094,163488.14,1.517675,0.698939,0.720938,0.523505,0
R10,20,66.2292,0.513653,0.083759,0.044132,181462.42,1.079048,0.698044,0.960778,0.685021,0
R10,21,69.7215,0.533219,0.081232,0.043972,189214.94,0.914859,0.676158,0.724021,0.603933,0
R10,22,81.36961,0.598314,0.080206,0.042123,166628.27,0.914321,1.228221,0.758575,0.510397,0
R10,23,64.79166,0.540175,0.080529,0.046141,157612.91,0.882253,0.730445,0.675799,0.489923,0
R10,24,74.00311,0.603571,0.080633,0.043669,184334.2,0.840349,1.230716,0.737369,0.764335,0
R10,25,80.66165,0.600578,0.081668,0.042486,170454.53,1.066013,0.610332,0.884786,0.557563,0
R10,26,75.67864,0.583983,0.090096,0.045182,155926.65,1.149134,0.832621,0.808616,0.761632,0
R11,1,61.10251,0.54567,0.066416,0.038927,190802.48,0.554846,0.960696,0.924335,0.511096,0
R11,2,63.224,0.497005,0.076347,0.044733,167339.16,0.522651,0.936352,0.802629,0.578952,0
R11,3,78.25948,0.590009,0.080433,0.04428,180527.38,0.751982,1.251173,0.879321,0.434008,0
R11,4,62.10602,0.490831,0.071926,0.039284,186937.1,0.702644,0.94131,0.903295,0.520937,0
R11,5,68.5122,0.525776,0.074648,0.040347,174446.78,0.802951,0.783719,0.774357,0.424766,0
R11,6,66.14864,0.539227,0.074839,0.039673,152079.79,0.568891,0.98549,0.816321,0.511957,0
