region_id,week_index,treatment_group,post_period,treatment_exposure_index,configuration_rate,baseline_intent_index,availability_index
R11,15,0,1,22.02559,0.06553,0.932805,0.862582
R11,16,0,1,17.52171,0.078952,0.887006,0.814617
R12,1,0,0,18.76605,0.079193,0.623025,0.840218
R12,2,0,0,16.75769,0.076701,0.58421,0.837567
R12,3,0,0,16.7823,0.079249,0.631813,0.876147
R12,4,0,0,19.05206,0.06691,0.641477,0.86307
R12,5,0,0,20.68789,0.071078,0.514653,0.790938
R12,6,0,0,18.93579,0.063358,0.522636,0.737213
R12,7,0,0,21.15413,0.072388,0.626572,0.757061
R12,8,0,0,19.55943,0.068626,0.509442,0.869067
R12,9,0,1,22.59833,0.066637,0.510611,0.823483
R12,10,0,1,17.97238,0.074166,0.588869,0.81001
R12,11,0,1,21.92258,0.070337,0.557233,0.814586
R12,12,0,1,18.38565,0.065306,0.657339,0.862783
R12,13,0,1,21.77893,0.071806,0.557072,0.797423
R12,14,0,1,21.92516,0.067462,0.655109,0.811944
R12,15,0,1,19.60434,0.069246,0.540235,0.896256
R12,16,0,1,21.47149,0.071117,0.541585,0.835743
R13,1,1,0,19.09206,0.078393,0.630657,0.77826
R13,2,1,0,24.29629,0.081023,0.626392,0.702944
R13,3,1,0,17.6289,0.076717,0.711636,0.947211
R13,4,1,0,18.68298,0.074689,0.626057,0.866866
R13,5,1,0,20.48602,0.077315,0.667256,0.774381
R13,6,1,0,19.62868,0.066951,0.599337,0.857833
R13,7,1,0,19.02856,0.073182,0.584409,0.807534
R13,8,1,0,20.28167,0.073952,0.6309,0.831423
R13,9,1,1,60.30302,0.096084,0.598902,0.797089
R13,10,1,1,57.61779,0.089624,0.513419,0.82677
R13,11,1,1,65.20207,0.088006,0.648261,0.799587
R13,12,1,1,61.65546,0.087684,0.592036,0.78095
R13,13,1,1,64.34554,0.087229,0.586667,0.815989
R13,14,1,1,59.72305,0.080663,0.60738,0.795728
R13,15,1,1,56.63846,0.088635,0.550632,0.810798
R13,16,1,1,60.03438,0.090674,0.581136,0.761113
R14,1,1,0,25.33494,0.073636,0.822117,0.896983
R14,2,1,0,16.12563,0.077014,0.855548,0.772715
R14,3,1,0,18.51989,0.083277,0.864813,0.798107
R14,4,1,0,24.41178,0.078053,0.84213,0.812465
R14,5,1,0,18.89709,0.074441,0.782492,0.764044
R14,6,1,0,20.29941,0.069724,0.867832,0.862499
R14,7,1,0,17.26612,0.070213,0.86789,0.825005
R14,8,1,0,22.02494,0.072209,0.831793,0.83715
R14,9,1,1,61.85403,0.097305,0.916583,0.727721
R14,10,1,1,63.47079,0.097722,0.872112,0.770605
R14,11,1,1,66.1162,0.086645,0.856438,0.768878
R14,12,1,1,60.80059,0.088847,0.820878,0.76385
R14,13,1,1,62.40094,0.092506,0.84312,0.753418
R14,14,1,1,62.92332,0.084663,0.821643,0.844227
R14,15,1,1,63.0351,0.095118,0.798789,0.819099
R14,16,1,1,60.73792,0.086883,0.899665,0.79309
R15,1,1,0,14.91011,0.067998,0.478009,0.843255
R15,2,1,0,21.11449,0.069834,0.530996,0.841324
R15,3,1,0,17.75105,0.06765,0.37368,0.757807
R15,4,1,0,24.31653,0.067658,0.400469,0.852493
R15,5,1,0,16.61909,0.071195,0.455575,0.799994
R15,6,1,0,18.95901,0.056938,0.450265,0.878055
R15,7,1,0,19.49201,0.061411,0.480555,0.709199
R15,8,1,0,21.99442,0.0583,0.424962,0.859353
R15,9,1,1,63.61999,0.079953,0.463874,0.721703
R15,10,1,1,58.55866,0.082086,0.35601,0.791289
R15,11,1,1,62.0249,0.085963,0.461404,0.858888
R15,12,1,1,63.23401,0.077991,0.439385,0.927826
R15,13,1,1,61.17958,0.076678,0.399129,0.779844
R15,14,1,1,62.05387,0.078384,0.448674,0.858044
R15,15,1,1,55.65727,0.074352,0.376369,0.790488
R15,16,1,1,58.47448,0.080161,0.388459,0.948902
R16,1,0,0,19.94401,0.064548,0.658389,0.831538
R16,2,0,0,16.2751,0.07277,0.62007,0.815303
R16,3,0,0,19.15141,0.075654,0.724693,0.845545
R16,4,0,0,20.25309,0.064888,0.774303,0.896528
R16,5,0,0,20.71329,0.063248,0.667518,0.793799
R16,6,0,0,21.16613,0.066023,0.864977,0.816515
R16,7,0,0,21.67332,0.069012,0.676502,0.874239
R16,8,0,0,19.9447,0.072131,0.693471,0.821754
R16,9,0,1,23.30396,0.068633,0.671002,0.855538
R16,10,0,1,20.7131,0.075358,0.700441,0.889321
R16,11,0,1,19.64664,0.063235,0.78087,0.87675
R16,12,0,1,21.70124,0.066436,0.773148,0.787409
R16,13,0,1,22.25399,0.070544,0.826204,0.810015
R16,14,0,1,20.09558,0.062058,0.73905,0.839443
R16,15,0,1,16.12142,0.064564,0.818462,0.775802
R16,16,0,1,19.24233,0.066707,0.749399,0.825748
R17,1,0,0,18.22432,0.06568,0.4895,0.910856
R17,2,0,0,9.85768,0.069944,0.495515,0.81291
R17,3,0,0,25.20639,0.074568,0.382344,0.761289
R17,4,0,0,24.16381,0.065551,0.449291,0.822925
R17,5,0,0,22.2843,0.06831,0.496055,0.789621
R17,6,0,0,21.54271,0.073255,0.419731,0.877615
R17,7,0,0,18.36378,0.0718,0.437395,0.830036
R17,8,0,0,23.50868,0.071297,0.419213,0.821985
R17,9,0,1,21.01014,0.074164,0.473186,0.836452
R17,10,0,1,23.57452,0.068234,0.442343,0.719791
R17,11,0,1,28.33705,0.076475,0.553083,0.837194
R17,12,0,1,16.50306,0.070477,0.479732,0.869975
R17,13,0,1,14.79097,0.059326,0.438774,0.822938
R17,14,0,1,18.90947,0.066303,0.494254,0.823793
R17,15,0,1,21.80566,0.066167,0.422561,0.795851
R17,16,0,1,15.31802,0.067021,0.492186,0.783677
R18,1,0,0,18.679,0.080342,0.718303,0.79969
R18,2,0,0,17.98662,0.079884,0.81974,0.876397
R18,3,0,0,19.78645,0.074906,0.842749,0.828643
R18,4,0,0,22.5642,0.074903,0.819146,0.828509
R18,5,0,0,16.78158,0.074348,0.882852,0.818021
R18,6,0,0,18.73284,0.070619,0.800874,0.885991
R18,7,0,0,14.4719,0.075528,0.761822,0.798941
R18,8,0,0,17.41027,0.074847,0.840665,0.779825
R18,9,0,1,18.36378,0.079508,0.733551,0.860419
R18,10,0,1,15.96267,0.072464,0.711759,0.746488
R18,11,0,1,20.36786,0.078419,0.798435,0.863579
R18,12,0,1,16.79799,0.079618,0.662078,0.877488
R18,13,0,1,21.60762,0.076004,0.901394,0.823159
R18,14,0,1,18.21664,0.072223,0.708472,0.761567
R18,15,0,1,22.84509,0.071528,0.819867,0.825956
R18,16,0,1,19.85828,0.069764,0.70347,0.821533
R19,1,1,0,20.57871,0.074531,0.920743,0.782751
R19,2,1,0,21.18246,0.07993,1.002047,0.840198
R19,3,1,0,20.81214,0.08349,0.945758,0.781167
R19,4,1,0,22.62324,0.08183,1.011072,0.839827
R19,5,1,0,23.21176,0.071999,0.906476,0.819114
R19,6,1,0,19.5196,0.078179,0.947485,0.853337
R19,7,1,0,26.56419,0.078905,0.955858,0.852735
R19,8,1,0,17.51745,0.076106,0.902439,0.768612
R19,9,1,1,66.53019,0.098338,0.900015,0.850732
R19,10,1,1,61.31579,0.090589,0.93281,0.80748
R19,11,1,1,59.21028,0.094502,1.058741,0.786235
R19,12,1,1,66.00045,0.090509,0.98843,0.899574
R19,13,1,1,64.11395,0.094669,0.863501,0.855636
R19,14,1,1,66.01144,0.092904,0.889994,0.760816
R19,15,1,1,65.30859,0.086897,1.03682,0.819025
R19,16,1,1,62.2436,0.093198,0.905991,0.81651
R20,1,1,0,21.19852,0.066806,0.886159,0.833617
R20,2,1,0,21.07355,0.069446,0.962419,0.821603
R20,3,1,0,20.79029,0.070112,0.944918,0.762035
R20,4,1,0,19.47591,0.065237,0.945358,0.85101
R20,5,1,0,21.07855,0.064199,1.033369,0.867907
R20,6,1,0,15.12506,0.066243,1.031873,0.788015
R20,7,1,0,21.39502,0.072667,1.067143,0.795073
R20,8,1,0,19.92981,0.071585,0.984557,0.802008
R20,9,1,1,63.31236,0.084257,0.949171,0.83567
R20,10,1,1,61.07605,0.086175,1.011656,0.846467
R20,11,1,1,61.3723,0.082033,0.980858,0.810477
R20,12,1,1,63.52222,0.080811,0.980655,0.855271
R20,13,1,1,59.58309,0.083537,1.003649,0.848964
R20,14,1,1,62.49873,0.079698,0.966647,0.799518
R20,15,1,1,59.09986,0.080586,0.863287,0.828846
R20,16,1,1,60.78344,0.084143,1.009574,0.80638
R21,1,1,0,21.14801,0.076864,0.829272,0.786309
R21,2,1,0,18.03964,0.072669,0.871066,0.861795
R21,3,1,0,19.83817,0.070674,0.874591,0.75336
R21,4,1,0,20.5929,0.069587,0.743181,0.812879
R21,5,1,0,17.98938,0.066416,0.885998,0.761147
R21,6,1,0,22.84888,0.062935,0.826209,0.792836
R21,7,1,0,19.47658,0.064006,0.85223,0.907319
R21,8,1,0,20.18316,0.063716,0.882471,0.825565
R21,9,1,1,66.99644,0.088102,0.884448,0.836207
R21,10,1,1,63.60887,0.086012,0.850025,0.834303
R21,11,1,1,63.20838,0.087813,0.870543,0.887464
R21,12,1,1,57.34488,0.087839,0.825883,0.841979
R21,13,1,1,65.55627,0.077934,0.851842,0.853206
R21,14,1,1,64.9896,0.079939,0.932949,0.83383
R21,15,1,1,63.20825,0.08204,0.842133,0.887231
R21,16,1,1,61.3551,0.083138,0.820103,0.888841
R22,1,0,0,20.02335,0.070132,0.706371,0.852891
R22,2,0,0,24.16473,0.070318,0.67835,0.896861
R22,3,0,0,16.15793,0.070951,0.66185,0.835937
R22,4,0,0,24.05731,0.074558,0.71833,0.830741
R22,5,0,0,22.66983,0.069984,0.726984,0.805017
R22,6,0,0,19.49372,0.05896,0.646001,0.786712
R22,7,0,0,17.02655,0.06896,0.649986,0.90311
R22,8,0,0,20.92461,0.071224,0.665169,0.871457
R22,9,0,1,18.73574,0.072603,0.636577,0.836911
R22,10,0,1,19.82009,0.071299,0.740077,0.831071
R22,11,0,1,19.0545,0.06799,0.717184,0.797538
R22,12,0,1,16.87848,0.072532,0.652962,0.873759
R22,13,0,1,15.61815,0.065906,0.739472,0.738431
R22,14,0,1,22.44838,0.066097,0.65218,0.829149
R22,15,0,1,23.73329,0.064658,0.693921,0.813342
R22,16,0,1,19.24577,0.070004,0.790018,0.923034
R23,1,0,0,22.77061,0.069538,1.049086,0.844691
R23,2,0,0,18.91637,0.079529,1.102104,0.830502
R23,3,0,0,21.98564,0.071249,1.077585,0.9365
R23,4,0,0,22.24853,0.073332,1.09754,0.787133
R23,5,0,0,21.40471,0.068861,1.026355,0.804514
R23,6,0,0,23.57852,0.063017,1.036714,0.878255
R23,7,0,0,19.8681,0.06664,1.156636,0.724214
R23,8,0,0,17.32482,0.070594,1.056545,0.832551
R23,9,0,1,23.8145,0.076625,1.165775,0.845654
R23,10,0,1,22.26091,0.076243,1.00372,0.910349
R23,11,0,1,17.60364,0.072451,1.064876,0.79787
R23,12,0,1,19.79802,0.064378,1.088924,0.815775
R23,13,0,1,20.8896,0.067009,1.046303,0.784608
R23,14,0,1,18.98538,0.066932,1.060855,0.827286
R23,15,0,1,17.92009,0.071135,1.136156,0.814736
R23,16,0,1,16.91378,0.074509,1.121583,0.853192
R24,1,1,0,21.25467,0.075059,0.82451,0.82693
R24,2,1,0,19.94235,0.076841,0.890001,0.834888
R24,3,1,0,20.53648,0.076095,0.81343,0.876147
R24,4,1,0,21.67983,0.068461,0.793725,0.871385
R24,5,1,0,16.96887,0.065379,0.800578,0.827451
R24,6,1,0,23.409,0.06411,0.842244,0.847553
R24,7,1,0,24.37669,0.064152,0.800767,0.724834
R24,8,1,0,23.58764,0.068598,0.80637,0.915944
R24,9,1,1,59.63022,0.088831,0.927177,0.844279
R24,10,1,1,56.96018,0.094663,0.848648,0.852546
R24,11,1,1,65.55201,0.088164,0.739692,0.811359
R24,12,1,1,63.47591,0.089688,0.815397,0.792275
R24,13,1,1,61.18562,0.081556,0.790538,0.842226
R24,14,1,1,64.37485,0.081219,0.71692,0.834443
R24,15,1,1,65.10145,0.083905,0.868573,0.831036
R24,16,1,1,62.3865,0.086071,0.800892,0.799143
R25,1,1,0,16.9306,0.075144,0.685872,0.759006
R25,2,1,0,20.52661,0.075245,0.71091,0.866426
R25,3,1,0,20.88241,0.078864,0.782085,0.783416
R25,4,1,0,19.9199,0.06819,0.791449,0.85089
R25,5,1,0,20.21236,0.070691,0.685691,0.830758
R25,6,1,0,18.01295,0.067168,0.720317,0.800601
R25,7,1,0,16.22891,0.072977,0.713677,0.901434
R25,8,1,0,24.65227,0.072882,0.678788,0.875334
R25,9,1,1,62.98789,0.085701,0.637471,0.802413
R25,10,1,1,61.57674,0.085767,0.688701,0.785111
R25,11,1,1,63.8713,0.081933,0.732892,0.836709
R25,12,1,1,61.0648,0.081821,0.670117,0.786404
R25,13,1,1,61.44856,0.078806,0.657015,0.897236
R25,14,1,1,63.77844,0.079249,0.677438,0.9293
R25,15,1,1,62.16753,0.076599,0.679516,0.818254
R25,16,1,1,57.96185,0.084102,0.646089,0.813478
R26,1,1,0,19.62871,0.084714,0.853975,0.872125
R26,2,1,0,20.24957,0.082298,0.849296,0.8698
R26,3,1,0,20.42626,0.085797,0.845271,0.862158
R26,4,1,0,18.4053,0.078126,0.893056,0.797538
R26,5,1,0,18.87779,0.085666,0.833856,0.866878
R26,6,1,0,19.82071,0.083026,0.789579,0.834722
R26,7,1,0,19.68491,0.075066,0.787448,0.900625
R26,8,1,0,24.1113,0.079735,0.79042,0.814379
R26,9,1,1,62.47183,0.095904,0.817126,0.921047
R26,10,1,1,62.93076,0.102038,0.782103,0.747327
R26,11,1,1,62.71759,0.097288,0.799678,0.770985
R26,12,1,1,62.11184,0.094221,0.809841,0.84228
R26,13,1,1,59.31476,0.092183,0.863776,0.7318
R26,14,1,1,56.75394,0.094629,0.750859,0.891895
R26,15,1,1,62.98717,0.091461,0.842206,0.835785
R26,16,1,1,61.60777,0.090468,0.780391,0.887069
R27,1,0,0,22.69104,0.069443,0.533173,0.831893
R27,2,0,0,22.09285,0.074596,0.613684,0.794942
R27,3,0,0,17.05868,0.074154,0.651823,0.906017
R27,4,0,0,21.99708,0.071042,0.533961,0.85528
R27,5,0,0,18.57688,0.069523,0.647637,0.815396
R27,6,0,0,18.09515,0.067067,0.580015,0.856143
R27,7,0,0,19.37066,0.069815,0.624071,0.782747
R27,8,0,0,18.83799,0.069473,0.612078,0.847615
R27,9,0,1,23.11631,0.072434,0.540777,0.786194
R27,10,0,1,16.95114,0.073408,0.611411,0.829522
R27,11,0,1,21.77653,0.068192,0.552371,0.787992
R27,12,0,1,20.33429,0.073224,0.585644,0.817934
R27,13,0,1,21.46362,0.064631,0.528468,0.80211
R27,14,0,1,19.31132,0.067727,0.590169,0.782371
R27,15,0,1,23.29785,0.06739,0.667447,0.837279
R27,16,0,1,15.25262,0.068361,0.529895,0.856407
R28,1,0,0,18.73322,0.073024,0.748305,0.810748
R28,2,0,0,19.1251,0.075803,0.787672,0.849307
R28,3,0,0,20.30663,0.07134,0.801998,0.832048
R28,4,0,0,14.66658,0.067087,0.854845,0.848078
R28,5,0,0,26.65806,0.070413,0.88248,0.807433
R28,6,0,0,19.50681,0.068298,0.823513,0.798707
R28,7,0,0,19.91787,0.065591,0.845046,0.825059
R28,8,0,0,19.67882,0.068064,0.779668,0.799905
R28,9,0,1,14.13963,0.067416,0.749358,0.804373
R28,10,0,1,18.21669,0.069746,0.760741,0.835964
R28,11,0,1,22.98494,0.071904,0.829674,0.809853
R28,12,0,1,23.90139,0.075113,0.763465,0.797564
R28,13,0,1,16.44886,0.072484,0.803373,0.863213
R28,14,0,1,19.74757,0.068104,0.811666,0.809878
R28,15,0,1,16.79775,0.072963,0.773844,0.795318
R28,16,0,1,21.9792,0.073773,0.751829,0.804373
R29,1,0,0,19.30842,0.069957,0.947421,0.788941
R29,2,0,0,19.08924,0.079895,1.014706,0.731664
R29,3,0,0,21.49741,0.079742,1.011788,0.786553
R29,4,0,0,20.88584,0.074924,0.892624,0.794517
R29,5,0,0,24.76295,0.070554,0.961669,0.801627
R29,6,0,0,20.59672,0.074425,1.021522,0.751084
R29,7,0,0,23.78316,0.071142,0.953097,0.77899
R29,8,0,0,23.53932,0.067734,1.022762,0.742372
R29,9,0,1,19.50794,0.076882,0.933425,0.784365
R29,10,0,1,24.1583,0.081082,1.05396,0.912345
R29,11,0,1,19.59824,0.074547,0.990356,0.718473
R29,12,0,1,17.86256,0.072222,1.010659,0.768879
R29,13,0,1,17.42568,0.067102,1.01196,0.824743
R29,14,0,1,18.5455,0.071748,0.954861,0.786675
R29,15,0,1,18.26121,0.070429,1.015962,0.853775
R29,16,0,1,21.5705,0.075736,1.053349,0.805946
R30,1,1,0,22.52268,0.07206,0.923792,0.807084
R30,2,1,0,18.70882,0.074594,0.842483,0.797014
R30,3,1,0,20.921,0.064125,0.896747,0.779426
R30,4,1,0,17.16806,0.069349,0.852863,0.916628
R30,5,1,0,17.48478,0.06632,0.821242,0.823902
R30,6,1,0,19.22881,0.064017,0.740015,0.80745
R30,7,1,0,18.3228,0.0615,0.945665,0.764381
R30,8,1,0,17.14577,0.071075,0.873219,0.81948
R30,9,1,1,63.7207,0.084567,0.862094,0.88632
R30,10,1,1,60.4687,0.087959,0.811627,0.715761
R30,11,1,1,62.45315,0.086107,0.836938,0.777296
R30,12,1,1,61.01942,0.078406,0.980317,0.770104
R30,13,1,1,61.57053,0.074694,0.812636,0.860225
R30,14,1,1,63.7073,0.076003,0.910705,0.900782
R30,15,1,1,59.37881,0.077624,0.795705,0.877535
